"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-API09: Create lead with required fields only (name, email).","175","test_create_lead_required_fields_only","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-LL44-53: Sort by various columns.","4468","test_sort_by_column[id]","tests.ui","Fri Mar 06 20:20:01 UTC 2026","passed","Fri Mar 06 20:20:05 UTC 2026","TestSortingUI","test_leads_listing_ui","",""
"Verify lead creation with each valid industry.","141","test_create_lead_all_industries[Education]","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-API39: Get leads with very large page number.","161","test_get_leads_very_large_page","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestPaginationAPI","test_leads_listing_api","",""
"Verify lead creation with all boolean field combinations.","151","test_create_lead_boolean_combinations[False-True]","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify lead creation with each valid source.","185","test_create_lead_all_sources[Website]","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-API47-50: Filter leads by status.","151","test_filter_by_status[New]","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestStatusFilterAPI","test_leads_listing_api","",""
"SQL injection in password field.","184","test_login_sql_injection_password","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"TC-LL37-40: Filter leads by status.","3529","test_filter_by_status[Lost]","tests.ui","Fri Mar 06 20:20:01 UTC 2026","passed","Fri Mar 06 20:20:04 UTC 2026","TestStatusFilterUI","test_leads_listing_ui","",""
"TC-L14: XSS script in password field.","130","test_login_xss_in_password","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"Verify Viewer role cannot create leads (should be denied).","363","test_viewer_cannot_create_lead","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadRoleBasedAPI","test_create_lead_api","",""
"TC-API14: Get lead by invalid/non-existent ID.","167","test_get_lead_by_invalid_id","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestGetSingleLeadAPI","test_leads_listing_api","",""
"Verify Manager role can create leads.","364","test_manager_can_create_lead","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadRoleBasedAPI","test_create_lead_api","",""
"Verify all roles can view the leads list.","302","test_all_roles_can_view_leads[UserRole.VIEWER]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestRoleBasedAccessAPI","test_leads_listing_api","",""
"Verify login fails with various invalid credentials.","3291","test_login_invalid_credentials_multi[invalid_cred3]","tests.ui","Fri Mar 06 20:20:15 UTC 2026","passed","Fri Mar 06 20:20:18 UTC 2026","TestLoginMultiRole","test_login_ui","",""
"
        Detailed workflow test showing each step:
        a. Navigate to login page
        b. Enter username
        c. Enter password
        d. Click Sign In button
        e. Wait for leads page
        f. Verify successful login
        ","2537","test_admin_login_detailed_workflow","tests.ui","Fri Mar 06 20:20:16 UTC 2026","passed","Fri Mar 06 20:20:19 UTC 2026","TestLoginDetailedSteps","test_login_ui","",""
"Verify API rejects requests without token.","148","test_unauthorized_access_no_token","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestGetLeadsDetailedAPI","test_leads_listing_api","",""
"TC-API05: Login with empty body.","102","test_login_empty_body","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"TC-API54-62: Sort by various fields ascending.","149","test_sort_by_field_ascending[email]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestSortingAPI","test_leads_listing_api","",""
"XSS payload in email field.","112","test_login_xss_in_email","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"TC-LL23: Delete lead via trash icon.","10979","test_delete_lead","tests.ui","Fri Mar 06 20:19:54 UTC 2026","passed","Fri Mar 06 20:20:05 UTC 2026","TestDeleteLeadUI","test_leads_listing_ui","",""
"TC-LL28: Search by exact name.","5729","test_search_by_name","tests.ui","Fri Mar 06 20:19:55 UTC 2026","passed","Fri Mar 06 20:20:01 UTC 2026","TestSearchUI","test_leads_listing_ui","",""
"Verify login fails with empty email.","104","test_login_empty_email","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"Verify API rejects requests with expired/malformed token.","146","test_unauthorized_access_expired_token","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestGetLeadsDetailedAPI","test_leads_listing_api","",""
"Verify login response includes role information.","103","test_login_returns_role_info[UserRole.VIEWER]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"TC-API12: Create lead without email field.","156","test_create_lead_without_email","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify login response has all expected fields.","126","test_login_response_structure","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"Verify lead creation with invalid priority value.","142","test_create_lead_invalid_priority","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify submitting create lead form with empty required fields shows validation.","4213","test_create_lead_with_empty_required_fields","tests.ui","Fri Mar 06 20:19:52 UTC 2026","passed","Fri Mar 06 20:19:57 UTC 2026","TestCreateLeadDetailedSteps","test_create_lead_ui","",""
"TC-API17: Update lead name.","255","test_update_lead_name","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestUpdateLeadAPI","test_leads_listing_api","",""
"Verify path traversal attempt is handled safely.","294","test_create_lead_path_traversal","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify login response includes role information.","109","test_login_returns_role_info[UserRole.MANAGER]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"Verify single character name is rejected (min 2 chars required).","165","test_create_lead_single_char_name_rejected","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-API54-62: Sort by various fields ascending.","147","test_sort_by_field_ascending[name]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestSortingAPI","test_leads_listing_api","",""
"TC-L03: Viewer login with valid credentials.","2551","test_viewer_login","tests.ui","Fri Mar 06 20:20:12 UTC 2026","passed","Fri Mar 06 20:20:14 UTC 2026","TestLoginUI","test_login_ui","",""
"TC-LL37-40: Filter leads by status.","3643","test_filter_by_status[Qualified]","tests.ui","Fri Mar 06 20:20:07 UTC 2026","passed","Fri Mar 06 20:20:10 UTC 2026","TestStatusFilterUI","test_leads_listing_ui","",""
"Verify negative deal value handling.","153","test_create_lead_negative_deal_value","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-LL35: Clear search restores list.","6309","test_clear_search","tests.ui","Fri Mar 06 20:19:56 UTC 2026","passed","Fri Mar 06 20:20:02 UTC 2026","TestSearchUI","test_leads_listing_ui","",""
"TC-C03: Create lead with different priority levels.","165","test_create_lead_all_priorities[Low]","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify a lead can be created with valid data (simple success check).","168","test_create_lead_success","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-LL44-53: Sort by various columns.","4161","test_sort_by_column[email]","tests.ui","Fri Mar 06 20:20:01 UTC 2026","passed","Fri Mar 06 20:20:05 UTC 2026","TestSortingUI","test_leads_listing_ui","",""
"Verify a created lead is returned in the create response body.","146","test_create_and_retrieve_lead","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLeadIntegrationAPI","test_leads_listing_api","",""
"Test logout redirects to login page.","3821","test_logout","tests.ui","Fri Mar 06 20:20:19 UTC 2026","passed","Fri Mar 06 20:20:23 UTC 2026","TestLoginUI","test_login_ui","",""
"Verify login fails with various invalid credentials.","98","test_login_invalid_credentials[invalid_cred2]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"TC-C05: Submit create lead form with empty name.","8711","test_create_lead_empty_name","tests.ui","Fri Mar 06 20:19:41 UTC 2026","passed","Fri Mar 06 20:19:50 UTC 2026","TestCreateLeadUI","test_create_lead_ui","",""
"TC-C03: Create lead with different priority levels.","143","test_create_lead_all_priorities[High]","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-API54-62: Sort by various fields ascending.","160","test_sort_by_field_ascending[createdAt]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestSortingAPI","test_leads_listing_api","",""
"TC-LL37-40: Filter leads by status.","4099","test_filter_by_status[New]","tests.ui","Fri Mar 06 20:19:57 UTC 2026","passed","Fri Mar 06 20:20:01 UTC 2026","TestStatusFilterUI","test_leads_listing_ui","",""
"TC-LL44-53: Sort by various columns.","5056","test_sort_by_column[name]","tests.ui","Fri Mar 06 20:20:03 UTC 2026","passed","Fri Mar 06 20:20:08 UTC 2026","TestSortingUI","test_leads_listing_ui","",""
"Verify special characters in name are handled.","164","test_create_lead_special_chars_in_name","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify XSS payload in name is handled safely.","172","test_create_lead_xss_in_name","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify name exceeding max length is handled.","177","test_create_lead_very_long_name","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify lead creation with all boolean field combinations.","144","test_create_lead_boolean_combinations[False-False]","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-API33: Get leads page 1.","149","test_get_leads_page_1","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestPaginationAPI","test_leads_listing_api","",""
"TC-LL57: Click Next button.","3510","test_pagination_next","tests.ui","Fri Mar 06 20:20:05 UTC 2026","passed","Fri Mar 06 20:20:08 UTC 2026","TestPaginationUI","test_leads_listing_ui","",""
"TC-API20: Update lead status.","306","test_update_lead_status","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestUpdateLeadAPI","test_leads_listing_api","",""
"Verify API rejects requests with invalid token.","145","test_unauthorized_access_invalid_token","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestGetLeadsDetailedAPI","test_leads_listing_api","",""
"TC-LL34: Search with no matching results.","3956","test_search_no_results","tests.ui","Fri Mar 06 20:20:04 UTC 2026","passed","Fri Mar 06 20:20:08 UTC 2026","TestSearchUI","test_leads_listing_ui","",""
"TC-API54-62: Sort by various fields ascending.","144","test_sort_by_field_ascending[status]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestSortingAPI","test_leads_listing_api","",""
"TC-API: Create lead with invalid email format.","164","test_create_lead_invalid_email_format","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify that the create lead dialog can be opened and closed properly.","10858","test_create_lead_dialog_opens_and_closes","tests.ui","Fri Mar 06 20:19:41 UTC 2026","passed","Fri Mar 06 20:19:52 UTC 2026","TestCreateLeadDetailedSteps","test_create_lead_ui","",""
"TC-API06: SQL injection in email field.","111","test_login_sql_injection_email","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"TC-C13: Cancel create lead dialog.","8064","test_cancel_create_lead_dialog","tests.ui","Fri Mar 06 20:19:41 UTC 2026","passed","Fri Mar 06 20:19:49 UTC 2026","TestCreateLeadUI","test_create_lead_ui","",""
"TC-API13: Get lead by valid ID.","256","test_get_lead_by_valid_id","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestGetSingleLeadAPI","test_leads_listing_api","",""
"Create lead with step-by-step field validation in Allure.","150","test_create_lead_with_field_validation","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadDetailedValidationAPI","test_create_lead_api","",""
"Verify the complete flow: login → create a new lead → verify it appears in the leads list.","10554","test_login_create_lead_and_verify_in_list","tests.ui","Fri Mar 06 20:20:08 UTC 2026","passed","Fri Mar 06 20:20:19 UTC 2026","TestLeadManagementFlow","test_leads_listing_ui","",""
"Verify very large deal value is handled.","153","test_create_lead_very_large_deal_value","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify lead creation with each valid industry.","155","test_create_lead_all_industries[Retail]","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify all roles can view the leads list.","318","test_all_roles_can_view_leads[UserRole.MANAGER]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestRoleBasedAccessAPI","test_leads_listing_api","",""
"Verify very long notes field is handled.","144","test_create_lead_very_long_notes","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-LL58: Click Previous button.","4583","test_pagination_previous","tests.ui","Fri Mar 06 20:20:06 UTC 2026","passed","Fri Mar 06 20:20:11 UTC 2026","TestPaginationUI","test_leads_listing_ui","",""
"TC-API11: Create lead without name field.","160","test_create_lead_without_name","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:34 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"TC-LL15: Edit lead name.","17360","test_edit_lead_name","tests.ui","Fri Mar 06 20:19:41 UTC 2026","passed","Fri Mar 06 20:19:59 UTC 2026","TestEditLeadUI","test_leads_listing_ui","",""
"TC-API27: Delete lead by valid ID.","274","test_delete_lead_valid_id","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestDeleteLeadAPI","test_leads_listing_api","",""
"TC-C04: Create lead with different statuses.","13396","test_create_lead_with_status[Contacted]","tests.ui","Fri Mar 06 20:19:41 UTC 2026","passed","Fri Mar 06 20:19:54 UTC 2026","TestCreateLeadUI","test_create_lead_ui","",""
"Verify null byte injection is handled safely.","158","test_create_lead_null_byte_injection","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Special characters in password.","109","test_login_special_characters_in_password","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"
        Complete workflow to create a lead with detailed steps:
        a. Navigate to login page
        b. Enter credentials
        c. Login
        d. Wait for leads page
        e. Click Create Lead
        f. Fill lead form
        g. Submit form
        h. Verify lead created
        ","6694","test_create_lead_complete_workflow","tests.ui","Fri Mar 06 20:19:55 UTC 2026","passed","Fri Mar 06 20:20:02 UTC 2026","TestCreateLeadDetailedSteps","test_create_lead_ui","",""
"Verify authenticated user can fetch leads list (basic success).","172","test_get_leads_success","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestGetLeadsAPI","test_leads_listing_api","",""
"TC-C03: Create lead with different priority levels.","5907","test_create_lead_with_priority[Low]","tests.ui","Fri Mar 06 20:19:49 UTC 2026","passed","Fri Mar 06 20:19:55 UTC 2026","TestCreateLeadUI","test_create_lead_ui","",""
"Invalid login with step-by-step error validation in Allure report.","99","test_invalid_login_detailed_validation","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginDetailedValidationAPI","test_login_api","",""
"Verify empty email is rejected.","150","test_create_lead_empty_email","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify login fails with empty password.","115","test_login_empty_password","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestLoginAPI","test_login_api","",""
"TC-API28: Delete non-existent lead.","164","test_delete_nonexistent_lead","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestDeleteLeadAPI","test_leads_listing_api","",""
"TC-API54-62: Sort by various fields ascending.","147","test_sort_by_field_ascending[id]","tests.api","Fri Mar 06 20:19:36 UTC 2026","passed","Fri Mar 06 20:19:36 UTC 2026","TestSortingAPI","test_leads_listing_api","",""
"TC-LL37-40: Filter leads by status.","3822","test_filter_by_status[Contacted]","tests.ui","Fri Mar 06 20:20:05 UTC 2026","passed","Fri Mar 06 20:20:09 UTC 2026","TestStatusFilterUI","test_leads_listing_ui","",""
"Verify maximum length name (255 chars) is handled.","144","test_create_lead_max_length_name","tests.api","Fri Mar 06 20:19:34 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
"Verify lead creation with all boolean field combinations.","156","test_create_lead_boolean_combinations[True-False]","tests.api","Fri Mar 06 20:19:35 UTC 2026","passed","Fri Mar 06 20:19:35 UTC 2026","TestCreateLeadAPI","test_create_lead_api","",""
